customer_id,equity_value,bond_value,gic_value,insurance_cash_value,mortgage_balance,mortgage_rate
1,1271.22,1774.69,2028.36,977.88,0.0,0.0
2,23445.86,6039.04,9838.75,0.0,128848.74,3.223
3,141718.42,81624.33,129989.68,10653.37,0.0,0.0
4,91574.42,24779.92,36373.32,0.0,0.0,0.0
5,55816.61,16776.59,24174.05,0.0,0.0,0.0
6,312322.03,124310.84,82866.85,0.0,0.0,0.0
7,77.91,119.82,120.7,68.07,0.0,0.0
8,23146.05,5410.33,9618.25,0.0,0.0,0.0
9,148246.73,66381.24,73690.31,0.0,0.0,0.0
10,25072.17,5637.37,10437.76,1603.49,0.0,0.0
11,24085.25,30609.17,37848.22,0.0,0.0,0.0
12,114386.02,21979.76,22407.83,0.0,0.0,0.0
13,26754.43,6963.95,10765.49,0.0,0.0,0.0
14,456.7,551.46,698.46,119.39,0.0,0.0
15,81017.17,49816.53,65773.59,0.0,89187.05,3.646
16,28861.44,7384.38,13315.24,1896.33,0.0,0.0
17,2348.48,3291.16,3313.01,940.38,0.0,0.0
18,48176.85,13050.85,19073.21,0.0,118228.53,3.92
19,127284.24,77997.35,100810.13,20693.89,178855.81,3.855
20,50709.49,11032.37,21027.83,0.0,0.0,0.0
21,130212.0,78715.05,128701.52,0.0,190746.31,3.508
22,3285.68,733.62,1365.42,0.0,0.0,0.0
23,119917.22,30023.71,43019.74,0.0,124827.77,3.584
24,107185.38,26815.39,39723.6,0.0,372620.03,3.507
25,3893.41,871.75,1469.28,0.0,0.0,0.0
26,6392.76,1354.98,2361.71,0.0,0.0,0.0
27,85900.69,39427.93,22550.01,7081.5,143074.93,3.497
28,4522.4,4349.03,3766.03,684.83,0.0,0.0
29,145979.56,236610.29,257532.08,24888.12,0.0,0.0
30,34829.06,23100.06,32722.93,0.0,0.0,0.0
31,78000.79,21760.55,31945.09,2881.85,99103.33,3.642
32,81866.84,57039.56,67688.82,0.0,196842.21,3.36
33,37468.86,7775.17,7743.49,0.0,0.0,0.0
34,31360.74,7977.76,13881.23,0.0,120352.26,3.619
35,135958.45,58618.7,35325.27,5518.57,155299.91,3.703
36,58468.27,30013.32,25923.81,0.0,69839.1,3.471
37,117341.09,30556.6,44089.63,0.0,0.0,0.0
38,120653.06,66053.31,92849.41,19269.85,222132.32,3.24
39,7563.23,1899.51,3238.36,0.0,0.0,0.0
40,53132.38,12960.89,22881.14,0.0,0.0,0.0
41,19374.22,12002.89,16972.12,5412.49,0.0,0.0
42,113904.48,74095.53,111960.08,0.0,0.0,0.0
43,111019.45,29553.66,42706.13,0.0,0.0,0.0
44,123896.88,84723.36,127639.31,16728.31,0.0,0.0
45,14111.19,3474.5,3464.35,0.0,0.0,0.0
46,142370.66,33622.09,57025.53,5770.05,313723.52,3.145
47,30111.45,8412.89,13826.79,956.2,76268.15,3.732
48,84123.91,113824.42,138750.23,0.0,0.0,0.0
49,53064.3,13820.1,21522.55,2144.24,112147.44,3.013
50,31153.46,8581.63,14867.55,0.0,0.0,0.0
51,126515.62,26078.67,27541.8,3093.94,0.0,0.0
52,55591.48,15221.29,23023.56,0.0,0.0,0.0
53,85913.64,35322.61,22164.09,5858.72,0.0,0.0
54,314590.89,140942.38,84256.63,0.0,560170.94,3.189
55,28145.7,6693.07,10230.26,0.0,75223.6,3.637
56,66305.73,42335.29,60289.32,6535.88,67866.57,3.923
57,3490.51,1014.79,1470.45,0.0,0.0,0.0
58,107812.23,42856.48,24107.86,7345.9,0.0,0.0
59,186.96,248.7,299.3,0.0,0.0,0.0
60,43411.77,68615.66,74209.21,6451.12,27900.43,4.189
61,113629.0,26155.83,24863.66,0.0,0.0,0.0
62,10178.16,2106.08,2019.82,0.0,0.0,0.0
63,51418.37,11628.73,20487.54,0.0,0.0,0.0
64,94220.91,64249.11,82064.84,10551.23,0.0,0.0
65,5285.07,6717.66,8043.57,812.7,0.0,0.0
66,46295.22,10763.26,18665.7,0.0,202087.68,3.424
67,73266.6,115689.65,136585.08,15598.04,0.0,0.0
68,35055.42,19318.57,20464.74,4312.35,0.0,0.0
69,37230.38,48095.26,57974.37,0.0,29017.98,3.765
70,175336.54,96172.77,151484.56,12883.0,0.0,0.0
71,101957.22,73753.1,102127.75,11120.65,130300.95,3.836
72,60617.7,85969.87,99085.46,13500.91,75738.74,3.311
73,185966.52,105314.39,95987.92,30260.48,309543.1,3.241
74,88394.86,63901.3,89653.64,18823.94,0.0,0.0
75,83036.61,22454.6,33893.35,8319.5,314023.56,3.317
76,81837.34,21514.67,34262.14,7041.83,0.0,0.0
77,2535.82,3862.96,3867.67,429.71,0.0,0.0
78,68603.76,42548.3,63608.41,0.0,0.0,0.0
79,116415.48,64920.54,104030.24,12590.18,130172.84,3.104
80,42854.21,9946.0,16868.33,0.0,0.0,0.0
81,806.87,847.15,687.02,0.0,0.0,0.0
82,59319.94,38119.61,48860.92,0.0,64891.08,3.394
83,3410.72,4631.64,6168.11,844.94,0.0,0.0
84,114654.9,31139.99,51498.36,0.0,602100.2,3.703
85,67143.74,90194.64,110913.43,11446.01,0.0,0.0
86,114444.05,27291.83,54530.91,0.0,196847.1,3.893
87,12052.54,2998.51,5215.48,0.0,0.0,0.0
88,108139.26,27545.88,41058.77,2813.27,0.0,0.0
89,16278.47,4730.42,6813.63,0.0,118036.15,3.826
90,48514.16,66951.39,74278.62,7305.7,0.0,0.0
91,20760.81,4941.71,8868.93,0.0,0.0,0.0
92,118819.5,48698.8,26747.87,5594.92,117639.21,3.268
93,60307.74,13608.9,23014.46,0.0,239705.24,3.03
94,16549.96,4920.13,7802.08,0.0,52048.37,3.522
95,70632.57,45558.39,69566.02,9253.57,66735.18,3.752
96,41654.13,10436.04,18623.28,1223.27,0.0,0.0
97,64048.52,25635.44,16244.77,0.0,0.0,0.0
98,44356.0,10671.12,9552.14,2306.32,129248.85,3.857
