customer_id,birth_year,marital_status,num_children,highest_education,occupation_category,tax_bracket,health_score,annual_salary,has_loan,has_insurance
1,1939,Married,1,Bachelor,Retired,10,66,2677.46,False,True
2,1998,Single,0,Associate,White Collar,12,86,61184.09,True,False
3,1970,Widowed,2,High School,White Collar,24,53,73633.8,False,True
4,2001,Single,0,High School,Professional,32,78,80905.78,False,True
5,1999,Single,0,High School,White Collar,22,80,56286.14,False,False
6,1983,Married,2,High School,Executive,32,66,154712.12,False,False
7,1945,Married,4,High School,Retired,0,72,207.4,False,True
8,2002,Single,0,Associate,Blue Collar,24,88,39012.47,False,False
9,1970,Married,1,Master,Blue Collar,12,78,56865.65,False,False
10,1994,Single,0,High School,Blue Collar,12,96,42127.72,False,True
11,1962,Widowed,2,High School,Blue Collar,12,68,33410.23,False,False
12,1995,Single,0,Master,Professional,22,83,123875.2,False,False
13,2000,Single,0,Associate,Blue Collar,10,84,38259.43,False,False
14,1958,Widowed,2,Bachelor,Retired,0,69,571.11,False,True
15,1976,Married,3,Bachelor,Blue Collar,10,86,48335.76,True,False
16,1996,Single,0,Associate,White Collar,24,82,76246.49,False,True
17,1954,Married,1,High School,Retired,0,58,3353.48,False,True
18,2000,Single,0,High School,White Collar,12,87,49333.67,True,True
19,1969,Married,3,Associate,Professional,24,68,105420.14,True,True
20,1999,Single,0,High School,White Collar,24,76,62084.89,False,False
21,1973,Married,1,High School,Self-Employed,12,72,103208.44,True,False
22,2005,Married,0,High School,Student,0,88,9375.55,False,True
23,1986,Single,0,Bachelor,White Collar,24,87,49818.2,True,False
24,1991,Single,0,Bachelor,Professional,24,76,148735.01,True,False
25,2007,Single,1,Bachelor,Student,0,79,9922.04,False,True
26,2004,Single,1,Bachelor,Student,0,60,16416.14,False,False
27,1983,Single,1,High School,White Collar,24,69,63958.94,True,True
28,1955,Widowed,2,Master,Retired,0,61,2544.89,False,True
29,1963,Widowed,4,Bachelor,Executive,37,75,135165.62,False,True
30,1977,Married,0,High School,Blue Collar,24,74,51233.68,False,False
31,1987,Divorced,1,Associate,Self-Employed,24,68,52115.73,True,True
32,1979,Married,1,Associate,Professional,22,77,102993.19,True,False
33,2003,Single,1,Master,Professional,32,79,88034.9,False,False
34,1999,Married,2,High School,White Collar,22,54,40901.92,True,False
35,1983,Divorced,1,Associate,White Collar,12,87,72642.21,True,True
36,1975,Married,1,Master,Blue Collar,10,85,40330.87,True,False
37,1992,Single,2,Bachelor,Executive,24,76,217913.1,False,False
38,1970,Divorced,1,High School,Professional,35,77,120638.31,True,True
39,2007,Single,0,Associate,Student,10,78,12014.63,False,True
40,1990,Married,1,Bachelor,Blue Collar,12,61,50296.01,False,False
41,1973,Divorced,4,Associate,Blue Collar,22,96,36236.56,False,True
42,1977,Married,1,Bachelor,White Collar,22,82,79985.93,False,False
43,1993,Single,0,Bachelor,Professional,32,88,92880.01,False,False
44,1979,Married,1,Bachelor,Professional,22,72,122477.25,False,True
45,2007,Married,0,Doctorate,Student,0,92,18006.36,False,False
46,1994,Single,1,Bachelor,Professional,24,65,138076.45,True,True
47,1995,Married,2,Bachelor,Blue Collar,22,76,32322.71,True,True
48,1960,Widowed,0,Bachelor,Executive,37,79,156831.03,False,False
49,1991,Married,2,High School,Blue Collar,24,71,51019.62,True,True
50,1996,Single,0,High School,White Collar,24,88,74037.61,False,False
51,1994,Single,0,Doctorate,Self-Employed,22,81,115823.23,False,True
52,2001,Single,0,Bachelor,Professional,22,82,85356.9,False,False
53,1985,Married,2,Associate,White Collar,22,69,58979.23,False,True
54,1982,Divorced,1,High School,Executive,35,80,244949.76,True,False
55,1995,Married,0,High School,Blue Collar,12,98,30876.54,True,False
56,1972,Married,3,High School,Blue Collar,10,76,49637.89,True,True
57,2006,Single,1,High School,Student,0,86,10924.75,False,False
58,1984,Divorced,1,Bachelor,White Collar,24,83,76768.6,False,True
59,1937,Widowed,4,High School,Retired,0,55,230.82,False,False
60,1964,Divorced,2,Associate,White Collar,22,71,36068.23,True,True
61,2000,Single,0,Master,Executive,32,78,190898.03,False,False
62,2007,Single,0,Doctorate,Student,0,60,18318.64,False,False
63,1996,Married,0,Bachelor,Professional,32,87,129344.59,False,False
64,1976,Married,1,Associate,White Collar,12,65,67696.6,False,True
65,1955,Widowed,4,Associate,Retired,10,77,4452.14,False,True
66,1996,Married,3,Associate,Professional,32,71,99026.24,True,False
67,1961,Married,4,High School,White Collar,22,92,62908.58,False,True
68,1976,Married,0,Master,Blue Collar,22,72,37153.16,False,True
69,1964,Married,2,Associate,White Collar,24,92,41794.94,True,False
70,1972,Married,2,Bachelor,Professional,24,72,113813.45,False,True
71,1966,Divorced,2,High School,White Collar,12,72,78379.17,True,True
72,1963,Married,2,High School,Self-Employed,22,88,80570.85,True,True
73,1972,Married,3,Master,Executive,32,65,161554.71,True,True
74,1974,Widowed,2,High School,Professional,24,75,136843.51,False,True
75,1989,Married,1,High School,Professional,24,83,123600.29,True,True
76,1988,Married,2,Bachelor,Professional,35,81,133718.77,False,True
77,1959,Divorced,1,Bachelor,Retired,0,72,2578.21,False,True
78,1971,Widowed,3,High School,Self-Employed,24,73,68450.29,False,False
79,1975,Divorced,1,High School,Professional,24,83,77692.83,True,True
80,2001,Single,0,Bachelor,White Collar,22,81,71270.89,False,False
81,1954,Widowed,4,Master,Retired,10,80,651.22,False,False
82,1971,Married,1,Associate,Blue Collar,10,78,46124.96,True,False
83,1952,Married,2,Bachelor,Retired,0,76,2522.86,False,True
84,1995,Married,2,Associate,Executive,32,90,207425.58,True,False
85,1960,Divorced,4,Bachelor,White Collar,12,68,68321.73,False,True
86,1989,Married,3,Bachelor,Professional,24,88,108660.69,True,False
87,2007,Single,0,Bachelor,Student,0,79,12161.8,False,False
88,1989,Married,0,Bachelor,Self-Employed,22,63,44108.12,False,True
89,2000,Married,1,High School,White Collar,12,76,51509.59,True,False
90,1964,Divorced,1,High School,White Collar,12,65,36754.75,False,True
91,1999,Single,0,Bachelor,White Collar,22,83,50237.36,False,False
92,1984,Married,4,High School,White Collar,12,73,57071.87,True,True
93,2002,Single,1,Bachelor,Professional,22,81,108353.92,True,False
94,2007,Single,0,Associate,Student,10,91,15278.55,True,False
95,1967,Divorced,1,High School,White Collar,22,88,44772.8,True,True
